intervalos,canal1,canal2,canal3,canal4,canal5
5,0,0,0,0,389
6,0,0,0,0,456
7,0,0,0,0,442
8,0,0,0,0,528
9,0,0,0,0,484
10,0,0,0,0,674
11,0,0,0,0,373
12,0,0,0,0,385
13,0,0,0,0,533
14,0,0,0,0,556
15,0,0,0,0,500
0,0,0,0,0,561
1,0,0,0,0,365
2,0,0,0,0,498
3,0,0,0,0,554
4,0,0,0,0,599
5,0,0,0,0,537
6,0,0,0,0,556
7,0,0,0,0,526
8,0,0,0,0,558
9,0,0,0,0,463
10,0,0,0,0,583
11,0,0,0,0,563
12,0,0,0,0,560
13,0,0,0,0,519
14,0,0,0,0,515
15,0,0,0,0,436
0,0,0,0,0,540
1,0,0,0,0,468
2,0,0,0,0,549
3,0,0,0,0,412
4,0,0,0,0,525
5,0,0,0,0,467
6,0,0,0,0,536
7,0,0,0,0,494
8,0,0,0,0,544
9,0,0,0,0,496
10,0,0,0,0,524
11,0,0,0,0,545
12,0,0,0,0,543
13,0,0,0,0,506
14,0,0,0,0,536
15,0,0,0,0,495
0,0,0,0,0,565
1,0,0,0,0,463
2,0,0,0,0,555
3,0,0,0,0,489
4,0,0,0,0,556
5,0,0,0,0,506
6,0,0,0,0,533
7,0,0,0,0,435
8,0,0,0,0,594
9,0,0,0,0,458
10,0,0,0,0,556
11,0,0,0,0,445
12,0,0,0,0,569
13,0,0,0,0,463
14,0,0,0,0,571
15,0,0,0,0,466
0,0,0,0,0,595
1,0,0,0,0,483
2,0,0,0,0,564
3,0,0,0,0,485
4,0,0,0,0,524
5,0,0,0,0,485
6,0,0,0,0,564
7,0,0,0,0,448
8,0,0,0,0,574
9,0,0,0,0,454
10,0,0,0,0,556
11,0,0,0,0,464
12,0,0,0,0,574
13,0,0,0,0,481
14,0,0,0,0,564
15,0,0,0,0,472
0,0,0,0,0,559
1,0,0,0,0,463
2,0,0,0,0,590
3,0,0,0,0,451
4,0,0,0,0,586
5,0,0,0,0,465
6,0,0,0,0,520
7,0,0,0,0,478
8,0,0,0,0,557
9,0,0,0,0,455
10,0,0,0,0,560
11,0,0,0,0,465
12,0,0,0,0,569
13,0,0,0,0,480
14,0,0,0,0,569
15,0,0,0,0,469
0,0,0,0,0,595
1,0,0,0,0,440
2,0,0,0,0,602
3,0,0,0,0,472
4,0,0,0,0,562
5,0,0,0,0,487
6,0,0,0,0,555
7,0,0,0,0,493
8,0,0,0,0,537
9,0,0,0,0,486
10,0,0,0,0,535
11,0,0,0,0,498
12,0,0,0,0,536
13,0,0,0,0,504
14,0,0,0,0,551
15,0,0,0,0,455
0,0,0,0,0,563
1,0,0,0,0,465
2,0,0,0,0,577
3,0,0,0,0,472
4,0,0,0,0,577
5,0,0,0,0,426
6,0,0,0,0,551
7,0,0,0,0,480
8,0,0,0,0,560
9,0,0,0,0,475
10,0,0,0,0,564
11,0,0,0,0,464
12,0,0,0,0,578
13,0,0,0,0,479
14,0,0,0,0,588
15,0,0,0,0,440
0,0,0,0,0,562
1,0,0,0,0,480
2,0,0,0,0,557
3,0,0,0,0,500
4,0,0,0,0,541
5,0,0,0,0,472
6,0,0,0,0,565
7,0,0,0,0,476
8,0,0,0,0,553
9,0,0,0,0,487
10,0,0,0,0,554
11,0,0,0,0,479
12,0,0,0,0,554
13,0,0,0,0,488
14,0,0,0,0,552
15,0,0,0,0,477
0,0,0,0,0,561
1,0,0,0,0,455
2,0,0,0,0,555
3,0,0,0,0,513
4,0,0,0,0,580
5,0,0,0,0,482
6,0,0,0,0,564
7,0,0,0,0,498
8,0,0,0,0,558
9,0,0,0,0,470
10,0,0,0,0,569
11,0,0,0,0,476
12,0,0,0,0,571
13,0,0,0,0,493
14,0,0,0,0,574
15,0,0,0,0,469
0,0,0,0,0,541
1,0,0,0,0,468
2,0,0,0,0,553
3,0,0,0,0,478
4,0,0,0,0,579
5,0,0,0,0,473
6,0,0,0,0,576
7,0,0,0,0,486
8,0,0,0,0,524
9,0,0,0,0,499
10,0,0,0,0,550
11,0,0,0,0,466
12,0,0,0,0,574
13,0,0,0,0,460
14,0,0,0,0,586
15,0,0,0,0,428
0,0,0,0,0,605
1,0,0,0,0,461
2,0,0,0,0,540
3,0,0,0,0,556
